id,title,artist,year,medium,era,political_context,institution,subject_matter,gender_of_artist,race_ethnicity_of_artist,political_impact_rating,historical_event_depicted_or_influenced,themes,significance,source_used,notes
1,Paul Revere's Engraving of the Boston Massacre,Paul Revere (after Henry Pelham),1770,Engraving/print,Colonial & Revolutionary,Pre-Revolutionary agitation,Library of Congress / multiple,British soldiers firing on colonists; orderly massacre framing,Male,White,5/5,Boston Massacre (1770),"Colonial resistance; propaganda; anti-British sentiment; media manipulation","One of the most politically consequential images in American history — Revere's engraving was widely distributed and deliberately falsified to inflame anti-British sentiment; directly fed revolutionary mobilization","Library of Congress catalog","Revere copied it from Henry Pelham without credit; its propagandistic distortion is itself historically significant"
2,Join or Die,Benjamin Franklin,1754,Political cartoon/woodcut,Colonial & Revolutionary,French and Indian War; colonial unity,Library of Congress,Severed snake divided into colonial segments,Male,White,5/5,Albany Congress (1754); later the American Revolution,"Colonial unity; political cartoon as weapon; national identity origins","First American political cartoon; republished during Revolution as call for colonial unity; invented the genre of American political visual rhetoric","Library of Congress catalog","Originally for French and Indian War; reused 1765–1776 as revolutionary symbol"
3,Washington Crossing the Delaware,Emanuel Leutze,1851,Oil on canvas,Colonial & Revolutionary,Nationalism / Manifest Destiny era retrospective,Metropolitan Museum of Art,"Washington; soldiers; ice-filled river; dawn crossing",Male,White (German-American),4/5,Battle of Trenton (1776),"Heroic nationalism; myth-making; leadership; American resilience","Painted during 1848 European revolutions as inspiration for democratic movements; became defining image of American heroic leadership","Met Museum catalog","Painted in Düsseldorf, not America; deliberately mythologized scale and composition"
4,The Apotheosis of Washington,Constantino Brumidi,1865,Fresco (ceiling),Colonial & Revolutionary,Post-Civil War national unity,US Capitol (Rotunda ceiling),Washington ascending to godhood surrounded by allegorical figures,Male,White (Italian-American),4/5,Civil War end; national reunification,"Civil religion; founding mythology; American exceptionalism","Completed the year the Civil War ended; fuses classical mythology with American founding to produce a civic religion","Architect of the Capitol records",""
5,Declaration of Independence (painting),John Trumbull,1818,Oil on canvas,Colonial & Revolutionary,Early Republic nationalism,US Capitol Rotunda,Founding Fathers presenting the Declaration,Male,White,4/5,Declaration of Independence (1776),"National founding mythology; democratic ideals; selective memory","Commissioned for the Capitol Rotunda; became the dominant visual memory of the founding; notably excludes enslaved people from a document signed by slaveholders","Architect of the Capitol records","Trumbull worked from life for some portraits; others reconstructed"
6,The Death of General Wolfe,Benjamin West,1770,Oil on canvas,Colonial & Revolutionary,British-American imperial identity,National Gallery of Canada,Dying British general surrounded by soldiers; Indigenous observer,Male,White (American-born),4/5,Battle of the Plains of Abraham (1759),"Empire; sacrifice; Indigenous witness; war heroism","First major painting to depict contemporary figures in modern dress rather than classical costume; shaped how war death was visualized; Indigenous figure later analyzed as colonial symbol","NGA Canada catalog","West was American-born; painting held in Canada; pivotal influence on American history painting"
7,Slavery as It Exists in America / Slavery as It Exists in England (abolitionist broadside),Unidentified artist,1850,Lithograph/broadside,Civil War & Reconstruction,Antebellum abolitionist movement,Library of Congress,Side-by-side comparison of slavery and English poverty,Unknown,Unknown,4/5,Antebellum slavery debate,"Abolitionism; counter-propaganda; visual argument; transatlantic debate","Broadside distributed to counter pro-slavery argument that English workers fared worse; shows how visual media shaped abolition debate","Library of Congress catalog","Part of a vast genre of antebellum abolitionist visual culture"
8,Am I Not a Man and a Brother (Wedgwood medallion),Josiah Wedgwood / abolitionist design,1787,Ceramic medallion,Civil War & Reconstruction,British abolitionist movement widely circulated in US,Multiple collections,Kneeling enslaved man in chains; supplicant pose,Unknown,White,4/5,Transatlantic abolitionist movement,"Slavery; humanitarian appeal; paternalism; abolitionist iconography","One of the most widely reproduced anti-slavery images; circulated in US as abolitionist pamphlet illustration; its paternalistic framing later criticized by Black scholars","Various collections","British origin; central to American abolitionist visual culture"
9,The Scourged Back (Gordon / Whipped Peter photograph),Mathew Brady Studio (McPherson & Oliver),1863,Albumen silver photograph,Civil War & Reconstruction,Civil War abolitionist propaganda,Library of Congress,Scarred back of an escaped enslaved man named Gordon,Male,White (photographers),5/5,Civil War; abolitionism; Emancipation Proclamation,"Evidence of slavery's brutality; photographic truth; propaganda; Black body as testimony","Published in Harper's Weekly 1863; reached millions; used as recruiting tool for Black Union soldiers; changed Northern public opinion on slavery","Library of Congress catalog","Gordon (known as 'Whipped Peter') escaped to Union lines; his name and story were later recovered by historians"
10,A Ride for Liberty — The Fugitive Slaves,Eastman Johnson,1862,Oil on canvas,Civil War & Reconstruction,Civil War; Underground Railroad,Brooklyn Museum,Black family on horseback fleeing at dawn,Male,White,4/5,Civil War; Underground Railroad,"Black agency; freedom; family; risk","Johnson witnessed a similar escape near Manassas; one of few pre-Emancipation paintings depicting Black self-liberation rather than passive suffering","Brooklyn Museum catalog",""
11,The First Vote,Alfred R. Waud,1867,Wood engraving (Harper's Weekly),Civil War & Reconstruction,Reconstruction; Black suffrage,Library of Congress,Black men lining up to vote for the first time,Male,White,5/5,Reconstruction; 15th Amendment (1870),"Black suffrage; Reconstruction promise; citizenship","Published in Harper's Weekly Nov. 1867; documented the revolutionary moment of Black male enfranchisement; widely circulated nationally","Library of Congress / Harper's Weekly archive",""
12,Worse than Slavery,Thomas Nast,1874,Political cartoon (Harper's Weekly),Civil War & Reconstruction,Redemption era; KKK violence; end of Reconstruction,Harper's Weekly archive,KKK and White League figures clasping hands over Black family huddled in terror,Male,White (German-American),5/5,End of Reconstruction; KKK violence,"Racial terror; Redemption; Reconstruction betrayal; political cartoon as documentation","Nast's cartoons were read by millions; Lincoln called him 'our best recruiting sergeant'; this image directly named the terror dismantling Reconstruction","Harper's Weekly archive","Nast also invented the visual image of Santa Claus and the Democratic donkey/Republican elephant"
13,Boss Tweed cartoon series,Thomas Nast,1869-1872,Political cartoons (Harper's Weekly),Civil War & Reconstruction,Tammany Hall corruption; Gilded Age,Harper's Weekly archive,Rotund corrupt politician; money bags; Tammany tiger,Male,White (German-American),5/5,Tammany Hall; Boss Tweed's arrest (1873),"Political corruption; press freedom; cartoon as political weapon","Tweed allegedly said 'stop them damn pictures'; Nast's cartoons directly contributed to Tweed's downfall and arrest; established political cartooning as a democratic institution","Harper's Weekly archive",""
14,Freedman's Bureau broadside and imagery,Various illustrators,1866,Lithograph/broadside,Civil War & Reconstruction,Reconstruction policy debate,Library of Congress,Black and white figures; Bureau as mediator,Unknown,Unknown,3/5,Freedmen's Bureau (1865–1872),"Reconstruction; federal intervention; Black citizenship; political symbolism","Visual materials surrounding the Bureau documented and shaped public debate about federal responsibility to formerly enslaved people","Library of Congress catalog","Genre entry representing Reconstruction-era visual culture broadly"
15,The Homestead Strike (illustrated coverage),Various (Harper's Weekly / Frank Leslie's),1892,Illustrated journalism engravings,Civil War & Reconstruction (late),Labor movement; Gilded Age inequality,Library of Congress,Armed Pinkerton agents; striking steel workers; river battle,Male,White,4/5,Homestead Strike (1892),"Labor rights; corporate power; class warfare; press coverage","Illustrated newspapers brought the Homestead battle into middle-class homes; shaped public sympathy and the labor rights debate","Library of Congress / Harper's Weekly archive",""
16,In the Land of the Free,Ng Poon Chew / illustrated publications,1919,Editorial cartoon,20th Century,Chinese Exclusion Act; immigration racism,Bancroft Library UC Berkeley,Chinese man separated from family by 'Law' figure; Statue of Liberty in background,Male,Chinese American,5/5,Chinese Exclusion Act (1882); Immigration Act (1917),"Immigration; racial exclusion; irony of American freedom","Published in Chinese-language press; one of the most pointed visual critiques of American immigration racism by an Asian American voice","Bancroft Library catalog","Ng Poon Chew was a pioneering Chinese American journalist"
17,I Want You for U.S. Army (Uncle Sam poster),James Montgomery Flagg,1917,Lithograph poster,20th Century,WWI military recruitment,Library of Congress,Uncle Sam pointing directly at viewer,Male,White,5/5,US entry into WWI (1917),"Nationalism; military service; direct address; civic duty","Most reproduced poster in American history (over 4 million copies in WWI alone); recycled for WWII; defined Uncle Sam's visual identity","Library of Congress catalog","Flagg used his own face as the model for Uncle Sam"
